team,visitor,tscore,vscore,gamespread,shorthome,shortvis,attendance
Los Angeles Lakers,Memphis Grizzlies,112,103,9,Lakers,Grizzlies,0
Washington Wizards,Atlanta Hawks,120,122,-2,Wizards,Hawks,0
Miami Heat,Cleveland Cavaliers,100,104,-4,Heat,Cavaliers,0
New Orleans Pelicans,Dallas Mavericks,113,106,7,Pelicans,Mavericks,0
Boston Celtics,Portland Trail Blazers,115,93,22,Celtics,Blazers,0
Denver Nuggets,Chicago Bulls,96,117,-21,Nuggets,Bulls,0
Phoenix Suns,Oklahoma City Thunder,132,101,31,Suns,Thunder,0
LA Clippers,Toronto Raptors,108,100,8,Clippers,Raptors,0
Indiana Pacers,Houston Rockets,134,125,9,Pacers,Rockets,0
Detroit Pistons,Charlotte Hornets,103,113,-10,Pistons,Hornets,0
Orlando Magic,Utah Jazz,124,131,-7,Magic,Jazz,0
Memphis Grizzlies,Golden State Warriors,131,110,21,Grizzlies,Warriors,0
Milwaukee Bucks,Brooklyn Nets,118,113,5,Bucks,Nets,0
Sacramento Kings,New York Knicks,122,117,5,Kings,Knicks,0
Philadelphia 76ers,Portland Trail Blazers,120,119,1,76ers,Blazers,0
